Product,v,h,c,mu,sigma,q_zxh,GIM,Opt
1,7,1,4,102,51,85.75,0,0
2,12,2,8,73,18.3,62.64,0,0
3,30,4,19,123,30.8,108.9,0,0
4,30,4,17,95,23.8,87.88,0,0
5,40,2,23,62,15.5,58.26,0,0
6,45,5,15,129,43,139.89,106.86,106.85
7,16,1,10,69,34.5,55.98,0,0
8,21,2,10,83,41.5,80.74,14.02,14.01
9,42,3,40,120,30,68.96,0,0
10,34,5,20,89,22.3,80.95,0,0
11,20,3,10,115,38.3,108.71,15.58,15.65
12,15,5,7,91,30.3,83.32,42.2,42.25
13,10,3,4,52,17.3,50.33,34.56,34.6
14,20,3,12,76,38,61.14,0,0
15,47,2,33,66,16.5,56.66,0,0
16,35,4,21,147,36.8,133.71,0,0
17,22,1,11,104,34.7,102.11,15.23,15.13